num_traces,ge_mean,ge_median
1,91.6,74.0
2,91.28,79.5
3,89.76,79.5
4,88.29,76.5
5,88.88,83.0
6,85.45,78.0
7,78.41,66.0
8,73.29,61.0
9,72.48,67.0
10,71.21,60.0
11,70.74,60.0
12,69.98,57.0
13,68.67,57.0
14,66.13,48.0
15,65.29,45.0
16,64.77,50.0
17,62.47,41.0
18,59.6,39.0
19,61.0,47.0
20,60.41,53.0
21,60.88,42.5
22,60.58,40.5
23,58.73,39.5
24,55.74,41.5
25,52.91,32.0
26,50.91,33.0
27,49.73,30.0
28,48.63,31.0
29,45.73,29.5
30,44.69,29.0
31,42.55,28.5
32,42.1,29.5
33,41.99,29.0
34,41.01,26.0
35,39.54,25.0
36,39.11,26.0
37,37.73,24.0
38,37.38,23.0
39,36.44,22.5
40,36.19,20.5
41,34.82,18.0
42,33.78,16.0
43,33.43,17.5
44,32.12,16.5
45,31.68,16.0
46,31.02,16.0
47,29.82,15.5
48,29.08,15.5
49,28.85,15.5
50,28.65,14.5
51,27.84,15.5
52,26.66,15.0
53,26.48,15.5
54,25.78,16.0
55,26.14,16.5
56,25.81,17.0
57,25.4,15.5
58,24.21,15.0
59,24.25,14.0
60,23.67,15.0
61,23.9,16.5
62,23.77,16.0
63,23.25,15.0
64,23.32,13.5
65,22.8,13.0
66,22.39,13.0
67,23.0,12.0
68,22.93,12.0
69,22.36,14.0
70,21.9,14.0
71,21.83,12.0
72,21.29,12.0
73,20.97,12.5
74,21.15,13.0
75,20.78,12.5
76,20.89,12.0
77,21.18,11.5
78,20.39,10.0
79,20.36,12.0
80,19.88,12.0
81,19.3,11.5
82,19.17,10.0
83,18.77,10.0
84,18.47,9.5
85,18.16,9.5
86,18.22,9.0
87,18.21,9.0
88,17.92,10.5
89,18.0,10.0
90,17.28,8.5
91,17.12,8.0
92,17.33,7.5
93,16.98,8.5
94,16.75,8.0
95,16.84,8.0
96,16.38,7.0
97,15.99,7.0
98,16.01,7.0
99,16.02,7.0
100,15.98,7.5
101,15.49,6.0
102,15.52,7.0
103,15.08,8.0
104,14.98,7.0
105,14.81,6.5
106,14.34,7.0
107,14.1,7.5
108,14.32,8.0
109,13.91,7.5
110,13.84,7.0
111,13.42,6.0
112,13.34,6.0
113,13.55,6.0
114,13.41,6.0
115,13.49,6.0
116,13.35,6.5
117,12.95,6.0
118,13.25,7.0
119,12.85,6.5
120,12.41,7.0
121,12.27,7.0
122,12.22,7.0
123,12.01,6.0
124,11.9,7.0
125,11.92,6.0
126,11.58,6.0
127,11.65,6.0
128,11.46,5.5
129,11.43,6.0
130,11.67,6.0
131,11.49,5.0
132,11.34,5.0
133,11.36,5.5
134,11.31,6.0
135,11.43,6.0
136,11.74,6.0
137,11.88,6.5
138,11.53,6.5
139,11.47,6.5
140,11.19,7.0
141,11.03,6.0
142,11.04,5.0
143,11.08,5.0
144,10.61,5.0
145,10.69,5.0
146,10.55,4.0
147,10.63,4.5
148,10.79,5.0
149,10.67,6.0
150,10.43,5.0
151,10.36,5.0
152,10.45,4.5
153,10.2,4.0
154,9.99,4.0
155,10.2,4.0
156,10.25,4.0
157,10.0,3.5
158,9.8,4.0
159,9.34,4.0
160,9.39,4.0
161,9.28,3.5
162,9.4,4.0
163,9.39,4.0
164,9.36,4.0
165,9.53,4.0
166,9.19,4.0
167,9.05,4.0
168,8.89,4.0
169,8.88,4.0
170,8.66,4.0
171,8.71,4.0
172,8.42,4.0
173,8.27,4.0
174,8.38,4.0
175,8.47,4.0
176,8.49,4.0
177,8.35,4.0
178,8.21,4.0
179,8.28,4.0
180,8.33,4.0
181,8.27,4.0
182,8.02,4.0
183,8.2,4.0
184,8.25,4.0
185,8.25,4.0
186,8.0,4.0
187,8.1,3.5
188,8.16,4.0
189,8.13,4.0
190,8.15,4.0
191,8.12,4.0
192,8.18,3.0
193,8.19,4.0
194,8.08,4.0
195,7.77,3.0
196,7.8,4.0
197,7.64,4.0
198,7.58,4.0
199,7.43,4.0
200,7.49,3.0
201,7.33,4.0
202,7.29,4.0
203,7.37,4.0
204,7.31,3.5
205,7.28,4.0
