num_traces,ge_mean,ge_median
1,108.26,101.5
2,98.95,83.0
3,100.29,99.0
4,104.83,107.0
5,103.95,92.5
6,98.49,99.5
7,98.41,92.0
8,99.99,88.5
9,98.52,85.5
10,94.61,75.5
11,95.0,81.0
12,89.14,75.5
13,86.0,75.0
14,83.75,68.5
15,82.38,81.5
16,80.91,77.0
17,82.03,73.5
18,79.0,59.5
19,77.05,55.0
20,79.11,62.0
21,80.48,66.5
22,80.52,70.5
23,75.73,64.5
24,72.67,63.0
25,70.46,53.0
26,68.06,55.0
27,66.69,47.0
28,66.51,46.5
29,65.5,44.0
30,64.69,46.0
31,63.4,45.5
32,61.42,39.5
33,59.62,38.5
34,58.09,35.0
35,56.77,32.5
36,54.78,34.0
37,53.66,34.5
38,52.46,33.0
39,52.4,36.5
40,51.7,35.5
41,50.96,33.0
42,49.43,30.5
43,48.16,29.0
44,47.95,27.5
45,45.09,23.5
46,44.18,29.0
47,42.91,26.5
48,43.22,30.0
49,43.69,23.0
50,42.71,26.0
51,41.79,25.0
52,41.12,23.0
53,41.41,25.5
54,40.83,24.0
55,40.15,23.0
56,41.06,25.0
57,39.48,25.0
58,39.18,24.0
59,37.82,26.0
60,36.81,20.5
61,36.65,26.5
62,34.82,21.0
63,33.82,20.5
64,33.61,21.5
65,32.5,22.5
66,31.86,20.0
67,32.08,18.0
68,33.08,23.0
69,32.48,21.5
70,32.03,17.0
71,32.28,17.0
72,32.39,16.0
73,32.87,17.5
74,32.46,17.5
75,32.96,17.0
76,32.65,18.0
77,32.57,16.5
78,32.83,18.5
79,31.27,19.0
80,31.53,18.0
81,29.79,14.0
82,28.71,14.0
83,29.37,11.5
84,28.68,13.0
85,28.28,15.0
86,28.32,14.0
87,28.72,14.0
88,27.81,13.5
89,27.75,12.0
90,27.3,12.0
91,26.74,11.0
92,25.61,9.5
93,25.11,10.0
94,25.74,8.5
95,25.0,8.5
96,24.02,9.0
97,23.35,8.0
98,23.52,8.0
99,23.03,7.5
100,23.11,9.0
101,23.06,9.0
102,22.71,9.0
103,22.82,10.5
104,22.43,8.5
105,21.67,8.0
106,21.18,8.0
107,19.73,8.0
108,19.86,7.0
109,20.3,7.0
110,19.52,6.0
111,18.86,6.0
112,18.72,6.0
113,18.51,6.5
114,18.12,6.5
115,18.27,7.0
116,18.39,7.0
117,18.25,7.0
118,18.23,7.0
119,16.95,6.0
120,16.62,6.0
121,16.12,6.5
122,15.72,7.0
123,15.78,6.0
124,15.47,5.0
125,15.76,5.5
126,15.07,5.5
127,14.47,6.0
128,14.41,5.0
129,14.19,5.0
130,14.06,5.0
131,13.89,5.0
132,13.27,5.0
133,13.55,5.5
134,12.89,4.0
135,12.64,4.0
136,12.63,4.5
137,12.55,4.0
138,12.13,4.0
139,12.0,4.0
140,12.03,3.0
141,12.07,3.0
142,12.2,4.0
143,11.86,3.5
144,11.64,3.5
145,11.58,3.0
146,11.66,3.0
147,11.78,3.0
148,12.0,4.0
149,12.12,4.0
150,11.98,4.0
151,12.0,3.5
152,12.39,4.0
153,12.09,3.0
154,12.05,3.0
155,11.91,3.0
156,11.72,3.0
157,11.42,3.0
158,11.11,3.0
159,11.51,3.0
160,11.11,3.0
161,11.24,3.5
162,11.11,3.0
163,10.56,3.0
164,10.59,3.0
165,10.69,2.5
166,10.18,2.5
167,10.13,3.0
168,9.76,3.0
169,9.76,3.0
170,9.45,2.5
171,9.38,2.0
172,9.15,2.0
173,9.11,3.0
174,8.8,2.5
175,8.87,2.0
176,9.1,2.5
177,8.89,2.0
178,8.72,2.0
179,9.06,2.5
180,8.88,2.0
181,8.75,2.0
182,8.6,2.0
183,8.59,2.0
184,8.6,2.0
185,8.68,2.5
186,8.29,2.0
187,8.17,2.0
188,7.96,2.0
189,8.02,2.0
190,8.37,2.0
191,8.2,2.0
192,7.88,2.0
193,7.66,2.0
194,7.93,1.0
195,7.74,2.0
196,7.56,2.0
197,7.73,2.0
198,7.64,1.5
199,7.68,1.5
200,7.78,1.0
201,7.89,1.0
202,7.84,1.0
203,7.65,1.0
204,7.71,1.0
205,7.33,1.0
206,7.22,1.0
207,7.24,1.0
208,7.4,1.0
209,7.63,1.0
210,7.72,1.0
211,7.59,1.0
212,7.53,1.0
213,7.59,1.0
214,7.61,1.0
215,7.42,1.0
216,7.32,1.0
217,7.32,1.0
218,7.36,1.0
219,7.41,1.0
220,7.38,1.0
221,7.73,1.0
222,7.8,1.0
223,7.92,1.0
224,7.94,1.0
225,7.58,1.0
226,7.91,1.0
227,7.93,1.0
228,7.74,1.0
229,7.55,1.0
230,7.22,1.0
231,7.25,1.0
232,7.17,1.0
233,7.1,1.0
234,7.05,0.5
235,7.2,0.0
236,6.98,0.0
237,7.09,0.0
238,6.8,0.0
239,6.81,0.0
240,6.91,0.0
241,7.06,0.0
242,7.04,0.0
243,6.87,0.0
244,6.93,0.0
245,6.66,0.0
246,6.39,1.0
247,6.15,0.0
248,6.2,0.0
249,5.83,0.0
250,5.76,0.5
251,5.75,0.0
252,5.63,0.0
253,5.68,0.0
254,5.49,0.0
255,5.4,0.0
256,5.45,0.0
257,5.21,0.0
258,5.42,0.0
259,5.16,0.0
260,5.25,0.5
261,5.18,0.0
262,5.07,0.0
263,5.1,0.0
264,5.17,0.0
265,5.23,0.0
266,5.26,0.0
267,5.38,0.0
268,5.27,0.0
269,5.19,0.0
270,5.0,0.0
271,5.06,0.0
272,5.0,0.0
273,4.99,0.0
274,5.34,0.0
275,5.1,0.0
276,5.22,0.0
277,5.19,0.0
278,5.02,0.0
279,5.14,0.0
280,4.87,0.0
281,4.93,0.0
282,4.81,0.0
283,4.57,0.0
284,4.55,0.0
285,4.44,0.0
286,4.5,0.0
287,4.4,0.0
288,4.54,0.0
289,4.57,0.0
290,4.58,0.0
291,4.29,0.0
292,4.36,0.0
293,4.46,0.0
294,4.34,0.0
295,4.25,0.0
296,4.3,0.0
297,4.35,0.0
298,4.09,0.0
299,4.12,0.0
300,4.15,0.0
301,4.02,0.0
302,3.82,0.0
303,3.83,0.0
304,3.8,0.0
305,3.82,0.0
306,3.86,0.0
307,3.98,0.0
308,3.88,0.0
309,3.84,0.0
310,3.88,0.0
311,3.69,0.0
312,3.52,0.0
313,3.6,0.0
314,3.48,0.0
315,3.44,0.0
316,3.24,0.0
317,3.16,0.0
318,3.18,0.0
319,3.15,0.0
320,3.0,0.0
321,2.9,0.0
322,2.93,0.0
323,2.83,0.0
324,2.81,0.0
325,2.63,0.0
326,2.74,0.0
327,2.76,0.0
328,2.7,0.0
329,2.61,0.0
330,2.52,0.0
331,2.5,0.0
332,2.47,0.0
333,2.47,0.0
334,2.49,0.0
335,2.46,0.0
336,2.4,0.0
337,2.4,0.0
338,2.44,0.0
339,2.52,0.0
340,2.58,0.0
341,2.5,0.0
342,2.26,0.0
343,2.22,0.0
344,2.17,0.0
345,2.13,0.0
346,2.14,0.0
347,2.04,0.0
348,2.0,0.0
349,2.04,0.0
350,2.09,0.0
351,2.01,0.0
352,2.06,0.0
353,1.85,0.0
354,1.78,0.0
355,1.9,0.0
356,1.93,0.0
357,1.91,0.0
358,1.96,0.0
359,2.0,0.0
360,1.88,0.0
361,2.04,0.0
362,2.04,0.0
363,1.99,0.0
364,2.0,0.0
365,2.18,0.0
366,2.07,0.0
367,2.13,0.0
368,2.09,0.0
369,2.02,0.0
370,2.16,0.0
371,2.12,0.0
372,2.03,0.0
373,2.19,0.0
374,2.17,0.0
375,2.05,0.0
376,2.01,0.0
377,2.11,0.0
378,2.03,0.0
379,2.0,0.0
380,2.08,0.0
381,1.89,0.0
382,1.86,0.0
383,1.75,0.0
384,1.69,0.0
385,1.73,0.0
386,1.7,0.0
387,1.68,0.0
388,1.54,0.0
389,1.56,0.0
390,1.68,0.0
391,1.72,0.0
392,1.67,0.0
393,1.63,0.0
394,1.62,0.0
395,1.54,0.0
396,1.55,0.0
397,1.52,0.0
398,1.54,0.0
399,1.61,0.0
400,1.6,0.0
401,1.65,0.0
402,1.6,0.0
403,1.53,0.0
404,1.45,0.0
405,1.44,0.0
406,1.36,0.0
407,1.31,0.0
408,1.27,0.0
409,1.34,0.0
410,1.34,0.0
411,1.41,0.0
412,1.35,0.0
413,1.28,0.0
414,1.3,0.0
415,1.31,0.0
416,1.34,0.0
417,1.24,0.0
418,1.27,0.0
419,1.23,0.0
420,1.25,0.0
421,1.23,0.0
422,1.24,0.0
423,1.26,0.0
424,1.37,0.0
425,1.37,0.0
426,1.32,0.0
427,1.28,0.0
428,1.33,0.0
429,1.29,0.0
430,1.29,0.0
431,1.3,0.0
432,1.29,0.0
433,1.26,0.0
434,1.24,0.0
435,1.17,0.0
436,1.26,0.0
437,1.28,0.0
438,1.19,0.0
439,1.18,0.0
440,1.21,0.0
441,1.1,0.0
442,1.05,0.0
443,1.0,0.0
444,1.03,0.0
445,1.01,0.0
446,0.93,0.0
447,0.93,0.0
448,0.92,0.0
449,0.94,0.0
450,0.89,0.0
451,0.88,0.0
452,0.86,0.0
453,0.85,0.0
454,0.88,0.0
455,0.88,0.0
456,0.91,0.0
457,0.87,0.0
458,0.84,0.0
459,0.83,0.0
460,0.83,0.0
461,0.86,0.0
462,0.88,0.0
463,0.78,0.0
464,0.8,0.0
465,0.74,0.0
466,0.72,0.0
467,0.72,0.0
468,0.77,0.0
469,0.79,0.0
470,0.79,0.0
471,0.83,0.0
472,0.79,0.0
473,0.78,0.0
474,0.86,0.0
475,0.77,0.0
476,0.69,0.0
477,0.67,0.0
478,0.67,0.0
479,0.69,0.0
480,0.69,0.0
481,0.67,0.0
482,0.63,0.0
483,0.76,0.0
484,0.72,0.0
485,0.66,0.0
486,0.65,0.0
487,0.58,0.0
488,0.61,0.0
489,0.57,0.0
490,0.6,0.0
491,0.55,0.0
492,0.64,0.0
493,0.59,0.0
494,0.61,0.0
495,0.59,0.0
496,0.61,0.0
497,0.6,0.0
498,0.59,0.0
499,0.53,0.0
500,0.51,0.0
501,0.53,0.0
502,0.52,0.0
503,0.5,0.0
504,0.58,0.0
505,0.59,0.0
506,0.56,0.0
507,0.55,0.0
508,0.54,0.0
509,0.5,0.0
510,0.52,0.0
511,0.52,0.0
512,0.52,0.0
513,0.54,0.0
514,0.56,0.0
515,0.56,0.0
516,0.54,0.0
517,0.55,0.0
518,0.52,0.0
519,0.51,0.0
520,0.55,0.0
521,0.51,0.0
522,0.51,0.0
523,0.48,0.0
524,0.46,0.0
525,0.43,0.0
526,0.41,0.0
527,0.4,0.0
528,0.41,0.0
529,0.4,0.0
530,0.42,0.0
531,0.4,0.0
532,0.4,0.0
533,0.4,0.0
534,0.38,0.0
535,0.4,0.0
536,0.41,0.0
537,0.37,0.0
538,0.33,0.0
539,0.31,0.0
540,0.27,0.0
541,0.27,0.0
542,0.28,0.0
543,0.27,0.0
544,0.27,0.0
545,0.25,0.0
546,0.24,0.0
547,0.23,0.0
548,0.22,0.0
549,0.22,0.0
550,0.22,0.0
551,0.25,0.0
552,0.25,0.0
553,0.26,0.0
554,0.23,0.0
555,0.23,0.0
556,0.17,0.0
557,0.16,0.0
558,0.18,0.0
559,0.18,0.0
560,0.17,0.0
561,0.17,0.0
562,0.17,0.0
563,0.18,0.0
564,0.2,0.0
565,0.17,0.0
566,0.16,0.0
567,0.15,0.0
568,0.16,0.0
569,0.15,0.0
570,0.17,0.0
571,0.16,0.0
572,0.16,0.0
573,0.16,0.0
574,0.14,0.0
575,0.14,0.0
576,0.15,0.0
577,0.15,0.0
578,0.12,0.0
579,0.13,0.0
580,0.13,0.0
581,0.15,0.0
582,0.15,0.0
583,0.15,0.0
584,0.15,0.0
585,0.14,0.0
586,0.15,0.0
587,0.15,0.0
588,0.15,0.0
589,0.15,0.0
590,0.16,0.0
591,0.13,0.0
592,0.12,0.0
593,0.12,0.0
594,0.11,0.0
595,0.13,0.0
596,0.11,0.0
597,0.1,0.0
598,0.11,0.0
599,0.12,0.0
600,0.11,0.0
601,0.13,0.0
602,0.12,0.0
603,0.12,0.0
604,0.1,0.0
605,0.12,0.0
606,0.09,0.0
607,0.1,0.0
608,0.11,0.0
609,0.1,0.0
610,0.11,0.0
611,0.1,0.0
612,0.07,0.0
613,0.07,0.0
614,0.08,0.0
615,0.08,0.0
616,0.08,0.0
617,0.08,0.0
618,0.08,0.0
619,0.07,0.0
620,0.06,0.0
621,0.06,0.0
622,0.06,0.0
623,0.07,0.0
624,0.07,0.0
625,0.06,0.0
626,0.06,0.0
627,0.07,0.0
628,0.06,0.0
629,0.07,0.0
630,0.06,0.0
631,0.07,0.0
632,0.07,0.0
633,0.08,0.0
634,0.08,0.0
635,0.07,0.0
636,0.1,0.0
637,0.08,0.0
638,0.07,0.0
639,0.07,0.0
640,0.06,0.0
641,0.07,0.0
642,0.05,0.0
643,0.06,0.0
644,0.06,0.0
645,0.06,0.0
646,0.07,0.0
647,0.07,0.0
648,0.07,0.0
649,0.06,0.0
650,0.07,0.0
651,0.06,0.0
652,0.07,0.0
653,0.07,0.0
654,0.07,0.0
655,0.06,0.0
656,0.05,0.0
657,0.05,0.0
658,0.07,0.0
659,0.07,0.0
660,0.07,0.0
661,0.08,0.0
662,0.09,0.0
663,0.09,0.0
664,0.08,0.0
665,0.13,0.0
666,0.15,0.0
667,0.16,0.0
668,0.1,0.0
669,0.09,0.0
670,0.14,0.0
671,0.14,0.0
672,0.09,0.0
673,0.09,0.0
674,0.1,0.0
675,0.11,0.0
676,0.12,0.0
677,0.12,0.0
678,0.14,0.0
679,0.14,0.0
680,0.14,0.0
681,0.14,0.0
682,0.12,0.0
683,0.15,0.0
684,0.12,0.0
685,0.11,0.0
686,0.09,0.0
687,0.08,0.0
688,0.14,0.0
689,0.12,0.0
690,0.15,0.0
691,0.15,0.0
692,0.15,0.0
693,0.15,0.0
694,0.12,0.0
695,0.13,0.0
696,0.14,0.0
697,0.16,0.0
698,0.13,0.0
699,0.13,0.0
700,0.14,0.0
701,0.13,0.0
702,0.14,0.0
703,0.14,0.0
704,0.13,0.0
705,0.13,0.0
706,0.12,0.0
707,0.11,0.0
708,0.11,0.0
709,0.09,0.0
710,0.1,0.0
711,0.1,0.0
712,0.1,0.0
713,0.1,0.0
714,0.09,0.0
715,0.13,0.0
716,0.11,0.0
717,0.12,0.0
718,0.12,0.0
719,0.14,0.0
720,0.14,0.0
721,0.12,0.0
722,0.11,0.0
723,0.12,0.0
724,0.12,0.0
725,0.11,0.0
726,0.11,0.0
727,0.11,0.0
728,0.11,0.0
729,0.11,0.0
730,0.11,0.0
731,0.13,0.0
732,0.13,0.0
733,0.13,0.0
734,0.11,0.0
735,0.13,0.0
736,0.12,0.0
737,0.11,0.0
738,0.12,0.0
739,0.11,0.0
740,0.11,0.0
741,0.1,0.0
742,0.1,0.0
743,0.1,0.0
744,0.1,0.0
745,0.1,0.0
746,0.09,0.0
747,0.09,0.0
748,0.09,0.0
749,0.1,0.0
750,0.11,0.0
751,0.1,0.0
752,0.11,0.0
753,0.1,0.0
754,0.09,0.0
755,0.09,0.0
756,0.09,0.0
757,0.1,0.0
758,0.11,0.0
759,0.1,0.0
760,0.1,0.0
761,0.1,0.0
762,0.09,0.0
763,0.1,0.0
764,0.09,0.0
765,0.08,0.0
766,0.08,0.0
767,0.07,0.0
768,0.07,0.0
769,0.07,0.0
770,0.08,0.0
771,0.07,0.0
772,0.07,0.0
773,0.07,0.0
774,0.07,0.0
775,0.08,0.0
776,0.08,0.0
777,0.08,0.0
778,0.09,0.0
779,0.09,0.0
780,0.09,0.0
781,0.09,0.0
782,0.07,0.0
783,0.07,0.0
784,0.07,0.0
785,0.08,0.0
786,0.08,0.0
787,0.08,0.0
788,0.08,0.0
789,0.07,0.0
790,0.07,0.0
791,0.07,0.0
792,0.07,0.0
793,0.08,0.0
794,0.09,0.0
795,0.08,0.0
796,0.08,0.0
797,0.08,0.0
798,0.08,0.0
799,0.08,0.0
800,0.08,0.0
801,0.08,0.0
802,0.08,0.0
803,0.07,0.0
804,0.08,0.0
805,0.08,0.0
806,0.07,0.0
807,0.08,0.0
808,0.1,0.0
809,0.1,0.0
810,0.12,0.0
811,0.09,0.0
812,0.08,0.0
813,0.09,0.0
814,0.1,0.0
815,0.09,0.0
816,0.08,0.0
817,0.1,0.0
818,0.1,0.0
819,0.11,0.0
820,0.1,0.0
821,0.09,0.0
822,0.1,0.0
823,0.09,0.0
824,0.1,0.0
825,0.09,0.0
826,0.08,0.0
827,0.07,0.0
828,0.06,0.0
829,0.05,0.0
830,0.05,0.0
831,0.05,0.0
832,0.05,0.0
833,0.04,0.0
834,0.05,0.0
835,0.05,0.0
836,0.05,0.0
837,0.05,0.0
838,0.05,0.0
839,0.04,0.0
840,0.04,0.0
841,0.04,0.0
842,0.04,0.0
843,0.04,0.0
844,0.04,0.0
845,0.04,0.0
846,0.04,0.0
847,0.04,0.0
848,0.04,0.0
849,0.04,0.0
850,0.04,0.0
851,0.04,0.0
852,0.04,0.0
853,0.05,0.0
854,0.05,0.0
855,0.05,0.0
856,0.06,0.0
857,0.06,0.0
858,0.06,0.0
859,0.04,0.0
860,0.06,0.0
861,0.05,0.0
862,0.04,0.0
863,0.03,0.0
864,0.03,0.0
865,0.03,0.0
866,0.03,0.0
867,0.03,0.0
868,0.03,0.0
869,0.03,0.0
870,0.03,0.0
871,0.03,0.0
872,0.03,0.0
873,0.03,0.0
874,0.03,0.0
875,0.03,0.0
876,0.03,0.0
877,0.03,0.0
878,0.03,0.0
879,0.03,0.0
880,0.03,0.0
881,0.03,0.0
882,0.03,0.0
883,0.03,0.0
884,0.03,0.0
885,0.03,0.0
886,0.03,0.0
887,0.03,0.0
888,0.03,0.0
889,0.03,0.0
890,0.03,0.0
891,0.03,0.0
892,0.03,0.0
893,0.03,0.0
894,0.03,0.0
895,0.03,0.0
896,0.03,0.0
897,0.03,0.0
898,0.03,0.0
899,0.03,0.0
900,0.03,0.0
901,0.03,0.0
902,0.03,0.0
903,0.03,0.0
904,0.03,0.0
905,0.03,0.0
906,0.03,0.0
907,0.03,0.0
